category_id,category_name
"4","Tools & Supplies >> Air Compressors"
"6","Tools & Supplies >> Air Tools >> Air Drills"
"7","Tools & Supplies >> Air Tools >> Air Flange Tools"
"8","Tools & Supplies >> Air Tools >> Air Grinders"
"9","Tools & Supplies >> Air Tools >> Air Ratchets"
"10","Tools & Supplies >> Air Tools >> Air Sanders"
"11","Tools & Supplies >> Air Tools >> Air Tool Parts & Accessories"
"12","Tools & Supplies >> Air Tools >> Impact Wrenches"
"13","Tools & Supplies >> Air Tools >> Other Automotive Air Tools"
"14","Tools & Supplies >> Air Tools >> Spray Guns"
"17","Tools & Supplies >> Auto Paints & Supplies >> Auto Paint Additives >> Flake & Pearl"
"18","Tools & Supplies >> Auto Paints & Supplies >> Auto Paint Additives >> Other Auto Paint Additives"
"19","Tools & Supplies >> Auto Paints & Supplies >> Auto Paint Additives >> Paint Catalysts"
"20","Tools & Supplies >> Auto Paints & Supplies >> Auto Paint Additives >> Reducers/Thinners"
"22","Tools & Supplies >> Auto Paints & Supplies >> Automotive Clear Coats"
"23","Tools & Supplies >> Auto Paints & Supplies >> Automotive Paint Kits"
"24","Tools & Supplies >> Auto Paints & Supplies >> Automotive Paint Supplies"
"25","Tools & Supplies >> Auto Paints & Supplies >> Automotive Primers"
"26","Tools & Supplies >> Auto Paints & Supplies >> Automotive Tape & Adhesives"
"27","Tools & Supplies >> Auto Paints & Supplies >> Multi-Stage Auto Paint"
"28","Tools & Supplies >> Auto Paints & Supplies >> Other Automotive Paint"
"29","Tools & Supplies >> Auto Paints & Supplies >> Single-Stage Auto Paint"
"31","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> Color Shift Paint"
"32","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> High Heat & Engine Paint"
"33","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> Industrial Coatings"
"34","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> Other Specialty Paint"
"35","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> Rust Prevention"
"36","Tools & Supplies >> Auto Paints & Supplies >> Specialty Paint & Coatings >> Truck Bed Liner Paint"
"37","Tools & Supplies >> Auto Paints & Supplies >> Touchup & Spray Paint"
"38","Tools & Supplies >> Auto Safety Kits & Supplies"
"40","Tools & Supplies >> Auto Tool Boxes & Storage >> Garage/Shop Tool Chests"
"42","Tools & Supplies >> Auto Tool Boxes & Storage >> Other Automotive Tool Storage"
"43","Tools & Supplies >> Auto Tool Boxes & Storage >> Tool Storage Organizers"
"44","Tools & Supplies >> Auto Tool Boxes & Storage >> Truck Tool Boxes"
"46","Tools & Supplies >> Automotive Care & Detailing >> Bug & Tar Removers"
"47","Tools & Supplies >> Automotive Care & Detailing >> Car Wash Soap"
"48","Tools & Supplies >> Automotive Care & Detailing >> Glass Care & Water Repellant"
"49","Tools & Supplies >> Automotive Care & Detailing >> Ice Scrapers & Snow Brushes"
"50","Tools & Supplies >> Automotive Care & Detailing >> Interior Cleaners & Protectant"
"51","Tools & Supplies >> Automotive Care & Detailing >> Mitts; Bonnets & Buffing Pads"
"52","Tools & Supplies >> Automotive Care & Detailing >> Other Automotive Care Supplies"
"53","Tools & Supplies >> Automotive Care & Detailing >> Power Polishers"
"54","Tools & Supplies >> Automotive Care & Detailing >> Squeegees"
"55","Tools & Supplies >> Automotive Care & Detailing >> Vehicle Vacuums"
"56","Tools & Supplies >> Automotive Care & Detailing >> Wash; Wax & Cleaning Kits"
"57","Tools & Supplies >> Automotive Care & Detailing >> Washing Brushes & Nozzles"
"58","Tools & Supplies >> Automotive Care & Detailing >> Waxes & Polishes"
"59","Tools & Supplies >> Automotive Care & Detailing >> Wheel/Tire Cleaners & Polishes"
"62","Tools & Supplies >> Automotive Repair Kits >> Dent Repair Kits & Tools"
"63","Tools & Supplies >> Automotive Repair Kits >> Other Repair Kits & Tools"
"64","Tools & Supplies >> Automotive Repair Kits >> Scratch Repair Kits & Tools"
"65","Tools & Supplies >> Automotive Repair Kits >> Tire Repair Kits & Tools"
"66","Tools & Supplies >> Automotive Repair Kits >> Windshield Repair Kits & Tools"
"68","Tools & Supplies >> Battery Testers & Chargers >> Battery Testers"
"69","Tools & Supplies >> Battery Testers & Chargers >> Booster/Jumper Cables"
"71","Tools & Supplies >> Battery Testers & Chargers >> Chargers & Jump Starters"
"72","Tools & Supplies >> Battery Testers & Chargers >> Other Battery Equipment"
"74","Tools & Supplies >> Diagnostic Service Tools >> Air Bag Scan Tools/Simulators"
"76","Tools & Supplies >> Diagnostic Service Tools >> Auto Inspection Cams & Scopes"
"77","Tools & Supplies >> Diagnostic Service Tools >> Code Readers & Scanners"
"78","Tools & Supplies >> Diagnostic Service Tools >> Compression & Vacuum Testers"
"79","Tools & Supplies >> Diagnostic Service Tools >> Connectors; Adapters & Parts"
"80","Tools & Supplies >> Diagnostic Service Tools >> Diagnostic Software"
"81","Tools & Supplies >> Diagnostic Service Tools >> Electrical Testers; Test Leads"
"82","Tools & Supplies >> Diagnostic Service Tools >> Emissions Analyzers"
"83","Tools & Supplies >> Diagnostic Service Tools >> Fuel Pressure Testers"
"84","Tools & Supplies >> Diagnostic Service Tools >> Ignition Testers"
"85","Tools & Supplies >> Diagnostic Service Tools >> Multimeters & Analyzers"
"86","Tools & Supplies >> Diagnostic Service Tools >> Other Diagnostic Service Tools"
"87","Tools & Supplies >> Diagnostic Service Tools >> Timing Lights"
"89","Tools & Supplies >> Fluids & Chemicals >> Air Conditioning Chemicals"
"90","Tools & Supplies >> Fluids & Chemicals >> Antifreeze"
"91","Tools & Supplies >> Fluids & Chemicals >> Brake Lubricants & Cleaners"
"92","Tools & Supplies >> Fluids & Chemicals >> Engine Cleaners"
"93","Tools & Supplies >> Fluids & Chemicals >> Fuel Additives & Treatments"
"94","Tools & Supplies >> Fluids & Chemicals >> Gasket Makers/Removers/Sealers"
"97","Tools & Supplies >> Fluids & Chemicals >> Gear/Differential Oil"
"99","Tools & Supplies >> Fluids & Chemicals >> Grease & Lube"
"100","Tools & Supplies >> Fluids & Chemicals >> Motor Oil"
"101","Tools & Supplies >> Fluids & Chemicals >> Other Fluids & Chemicals"
"102","Tools & Supplies >> Fluids & Chemicals >> Power Steering Fluids"
"103","Tools & Supplies >> Fluids & Chemicals >> Radiator Additives & Sealants"
"104","Tools & Supplies >> Fluids & Chemicals >> Starting Fluids"
"105","Tools & Supplies >> Fluids & Chemicals >> Tire Sealant"
"106","Tools & Supplies >> Fluids & Chemicals >> Transmission Fluid"
"107","Tools & Supplies >> Fluids & Chemicals >> Windshield Wiper Fluid"
"109","Tools & Supplies >> Hand Tools >> Body Hammers & Dollies"
"110","Tools & Supplies >> Hand Tools >> Clamps"
"111","Tools & Supplies >> Hand Tools >> Cutting Tools"
"112","Tools & Supplies >> Hand Tools >> Hand Tool Parts & Accessories"
"113","Tools & Supplies >> Hand Tools >> Mixed Hand Tool Sets"
"114","Tools & Supplies >> Hand Tools >> Other Automotive Hand Tools"
"115","Tools & Supplies >> Hand Tools >> Pliers"
"116","Tools & Supplies >> Hand Tools >> Precision & Measuring Tools"
"117","Tools & Supplies >> Hand Tools >> Pullers & Extractors"
"118","Tools & Supplies >> Hand Tools >> Ratchets"
"119","Tools & Supplies >> Hand Tools >> Riveters"
"120","Tools & Supplies >> Hand Tools >> Screwdrivers"
"121","Tools & Supplies >> Hand Tools >> Slide Hammers"
"122","Tools & Supplies >> Hand Tools >> Sockets & Socket Sets"
"123","Tools & Supplies >> Hand Tools >> Threading Tools"
"124","Tools & Supplies >> Hand Tools >> Wrenches"
"125","Tools & Supplies >> Other Auto Tools & Supplies"
"126","Tools & Supplies >> Power Tools"
"128","Tools & Supplies >> Shop Equipment & Supplies >> Auto Lifts & Frame Machines"
"129","Tools & Supplies >> Shop Equipment & Supplies >> Brake Lathes"
"130","Tools & Supplies >> Shop Equipment & Supplies >> Brake Service Tools"
"131","Tools & Supplies >> Shop Equipment & Supplies >> Come-Alongs"
"132","Tools & Supplies >> Shop Equipment & Supplies >> Dollies"
